Education_Sector,School_Name,School_Type,Local_Government_Area
Catholic,St Kieran's School,Primary,latrobe
Catholic,Marcellin College,Secondary,manningham
Catholic,Marist-Sion College,Secondary,baw baw
Independent,Henderson College,Pri/Sec,mildura
Catholic,St Theresa's School,Primary,brimbank
Catholic,St Bernadette's School,Primary,banyule
Catholic,St Colman's School,Primary,moyne
Catholic,St Agnes' School,Primary,bayside
Catholic,Our Lady of the Assumption School,Primary,kingston
Independent,Nunawading Christian College-Primary,Primary,whitehorse
Catholic,Sacred Heart School,Primary,maroondah
Catholic,St Malachy's School,Primary,west wimmera
Independent,Heritage College,Pri/Sec,casey
Catholic,St Mary's School,Primary,murrindindi
Catholic,Resurrection House,Primary,moonee valley
Independent,Adass Israel School,Pri/Sec,glen eira
Catholic,Holy Spirit School,Primary,darebin
Catholic,Larmenier,Special,bayside
Catholic,Sacred Heart School,Primary,brimbank
Catholic,St Thomas The Apostle School,Primary,whitehorse
Catholic,St Mary's School,Primary,campaspe
Catholic,St Michael's School,Primary,wellington
Catholic,St Thomas Aquinas School,Primary,greater geelong
Catholic,St Pius X School,Primary,banyule
Catholic,St Margaret Mary's School,Primary,hobsons bay
Catholic,Monivae College,Secondary,southern grampians
Catholic,St Mary Magdalen's School,Primary,monash
Catholic,St Anthony's School,Primary,greater dandenong
Catholic,St Peter's School,Primary,monash
Catholic,St Joseph's School,Primary,yarriambiack
Independent,Yeshivah College,Pri/Sec,glen eira
Catholic,St John Bosco's School,Primary,moonee valley
Catholic,Holy Family School,Primary,greater geelong
Catholic,Holy Spirit Parish School,Primary,greater geelong
Catholic,St Mary's School,Primary,banyule
Catholic,Mother of God School,Primary,brimbank
Catholic,St Peter Chanel School,Primary,brimbank
Catholic,Christ the King Primary School,Primary,maribyrnong
Catholic,Corpus Christi School,Primary,moreland
Catholic,Killester College,Secondary,greater dandenong
Catholic,St Paul's School,Primary,brimbank
Catholic,St Patrick's School,Primary,loddon
Catholic,Clonard College,Secondary,greater geelong
Catholic,Stella Maris School,Primary,bayside
Catholic,St Therese's School,Primary,greater bendigo
Catholic,St Bernadette's School,Primary,brimbank
Catholic,St James' School,Primary,ballarat
Independent,Rossbourne School,Special,boroondara
Catholic,Sacred Heart School,Primary,mildura
Independent,Beth Rivkah Ladies College,Pri/Sec,glen eira
Catholic,St Margaret's Primary School,Primary,maribyrnong
Catholic,Immaculate Heart of Mary School,Primary,latrobe
Catholic,Holy Family School,Primary,monash
Catholic,St Gerard's School,Primary,greater dandenong
Catholic,St Mel's School,Primary,greater shepparton
Catholic,Our Lady of Perpetual Succour School,Primary,whitehorse
Catholic,St Catherine's School,Primary,kingston
Catholic,Sacred Heart Girls' College,Secondary,monash
Catholic,St Vincent de Paul's School,Primary,latrobe
Independent,St Peter's Lutheran School,Primary,hindmarsh
Catholic,St Mary's School,Primary,buloke
Catholic,St Joseph's School,Primary,yarra ranges
Catholic,St Stephen's School,Primary,darebin
Catholic,St Brendan's School,Primary,east gippsland
Catholic,St Martin of Tours School,Primary,banyule
Catholic,St Michael's School,Primary,towong
Catholic,Christ Our Holy Redeemer School,Primary,monash
Catholic,Our Lady of the Nativity School,Primary,moonee valley
Catholic,St John's Regional College,Secondary,greater dandenong
Catholic,Nagle College,Secondary,east gippsland
Catholic,St Mary's School,Pri/Sec,swan hill
Catholic,Our Lady's School,Primary,wangaratta
Catholic,Emmaus College,Secondary,whitehorse
Catholic,St Dominic's School,Primary,hume
Catholic,St Patrick's School,Primary,campaspe
Catholic,St Bridget's School,Primary,boroondara
Catholic,St Leonard's School,Primary,monash
Catholic,St Scholastica's School,Primary,whitehorse
Catholic,St Christopher's School,Primary,monash
Catholic,St John Vianney's School,Primary,kingston
Catholic,Ss Peter & Paul's School,Primary,manningham
Catholic,St Mary of the Angels College,Secondary,moira
Catholic,Holy Family School,Primary,casey
Catholic,Aquinas College,Secondary,maroondah
Independent,Leibler Yavneh College,Pri/Sec,glen eira
Independent,The Peninsula School,Pri/Sec,mornington peninsula
Catholic,St Matthew's School,Primary,moreland
Catholic,St John Vianney's School,Primary,monash
Catholic,St Luke's School,Primary,whittlesea
Catholic,St Francis de Sales School,Primary,moreland
Independent,St John's Lutheran School Geelong,Primary,greater geelong
Catholic,St Thomas More's School,Primary,yarra ranges
Catholic,St Pius X School,Primary,warrnambool
Catholic,St Christopher's School,Primary,moonee valley
Catholic,Sacred Heart School,Primary,colac-otway
Catholic,St Michael's School,Primary,casey
Catholic,Ave Maria College,Secondary,moonee valley
Independent,Bialik College,Pri/Sec,boroondara
Catholic,Our Lady of the Way School,Primary,darebin
Catholic,St Luke the Evangelist School,Primary,whitehorse
Catholic,St Bernard's School,Primary,wangaratta
Catholic,Our Lady Help of Christians School,Primary,yarriambiack
Independent,Luther College,Secondary,maroondah
Catholic,Marian College,Secondary,brimbank
Catholic,Mount St Joseph Girls' College,Secondary,hobsons bay
Catholic,Mother of God School,Primary,banyule
Catholic,Our Lady Help of Christians School,Primary,ballarat
Catholic,St Clement of Rome School,Primary,manningham
Catholic,St Joseph's Primary School,Primary,knox
Catholic,Sacred Heart School,Pri/Sec,towong
Catholic,Mater Christi College,Secondary,yarra ranges
Catholic,Our Lady of Lourdes School,Primary,knox
Catholic,St Joseph's College,Secondary,knox
Catholic,St Paul's College,Special,boroondara
Catholic,Annunciation School,Primary,hobsons bay
Catholic,St Louis de Montfort's School,Primary,kingston
Catholic,St Thomas More's School,Primary,moreland
Catholic,Avila College,Secondary,monash
Catholic,St Philip's School,Primary,whitehorse
Catholic,Holy Child School,Primary,hume
Catholic,Emmanuel College,Secondary,hobsons bay
Catholic,St Peter Julian Eymard,Primary,yarra ranges
Catholic,St Damian's School,Primary,whittlesea
Catholic,St Monica's College,Secondary,whittlesea
Independent,Yarra Valley Grammar School,Pri/Sec,maroondah
Catholic,Christ the King School,Primary,greater geelong
Catholic,Mercy College,Secondary,moreland
Catholic,St Timothy's School,Primary,whitehorse
Catholic,St Mary's School,Primary,wellington
Catholic,St Macartan's School,Primary,mornington peninsula
Catholic,St John's School,Primary,frankston
Catholic,St Mary's College for Hearing Impaired Students,Special,knox
Catholic,John Paul College,Secondary,frankston
Catholic,St Anne's School,Primary,frankston
Independent,Edinburgh College (Primary),Primary,yarra ranges
Catholic,Mazenod College,Secondary,monash
Catholic,St Martin de Porres School,Primary,moonee valley
Catholic,St Gregory the Great School,Primary,manningham
Independent,Maranatha Christian School,Pri/Sec,casey
Catholic,St Kevin's School,Primary,manningham
Catholic,St James' School,Primary,whitehorse
Catholic,Good Shepherd School,Primary,monash
Catholic,MacKillop Catholic Regional College,Secondary,wyndham
Catholic,St James'  College,Secondary,glen eira
Catholic,St Thomas' School,Primary,wellington
Catholic,St Leo the Great School,Primary,hobsons bay
Catholic,St Peter's School,Primary,moonee valley
Catholic,Our Lady Help of Christians School,Primary,warrnambool
Catholic,Marian College,Secondary,alpine
Catholic,St Martin de Porres School,Primary,hobsons bay
Catholic,St Jude the Apostle School,Primary,knox
Catholic,St Monica's School,Primary,wodonga
Independent,Mount Evelyn Christian School/Ranges TEC,Pri/Sec,yarra ranges
Independent,Melbourne Rudolf Steiner School,Pri/Sec,maroondah
Catholic,St Peter's School,Primary,greater bendigo
Catholic,St Mark's School,Primary,kingston
Independent,The Currajong School,Special,stonnington
Independent,Eltham College,Pri/Sec,nillumbik
Catholic,Holy Eucharist School,Primary,brimbank
Independent,Penbank School,Primary,mornington peninsula
Catholic,St Paul's Primary School,Primary,mildura
Independent,Learning Co-Operative School,Primary,nillumbik
Catholic,St Peter Apostle School,Primary,wyndham
Independent,Donvale Christian College,Pri/Sec,manningham
Independent,Berengarra School,Special,whitehorse
Independent,Sholem Aleichem College,Primary,glen eira
Catholic,St John's School,Primary,whittlesea
Independent,Braemar College,Pri/Sec,macedon ranges
Catholic,School of the Good Shepherd,Primary,hume
Catholic,St Agatha's School,Primary,casey
Catholic,Resurrection School,Primary,greater dandenong
Catholic,St Dominic's School,Primary,melton
Catholic,St Francis Xavier School,Primary,greater geelong
Independent,Gilson College,Pri/Sec,melton
Independent,Cheshire School,Special,monash
Catholic,Galen Catholic College,Secondary,wangaratta
Catholic,Holy Spirit School,Primary,maroondah
Catholic,Lumen Christi School,Primary,latrobe
Catholic,Holy Saviour Parish School,Primary,whitehorse
Catholic,St Clare's School,Primary,whittlesea
Independent,Nhill Lutheran School,Primary,hindmarsh
Catholic,St Anne's School,Primary,hume
Catholic,Our Lady of the Pines School,Primary,manningham
Catholic,St Jude's School,Primary,frankston
Catholic,St Paul's Kealba Catholic School,Primary,brimbank
Catholic,St Elizabeth's School,Primary,greater dandenong
Catholic,St Joseph the Worker School,Primary,darebin
Catholic,Resurrection School,Primary,brimbank
Catholic,Catholic Regional College,Secondary,brimbank
Catholic,St Francis Xavier College,Secondary,cardinia
Independent,Holy Trinity Lutheran School,Pri/Sec,horsham
Independent,Plenty Valley International Montessori School,Primary,banyule
Independent,Waverley Christian College,Pri/Sec,knox
Independent,The King David School,Pri/Sec,stonnington
Independent,Westbourne Grammar School,Pri/Sec,wyndham
Catholic,Nazareth School,Primary,greater geelong
Catholic,St Augustine's Primary School,Primary,brimbank
Catholic,St Anthony's School,Primary,melton
Catholic,St Thomas the Apostle School,Primary,nillumbik
Catholic,St Luke's School,Primary,knox
Catholic,St Peter's School,Primary,brimbank
Independent,Northside Christian College,Pri/Sec,whittlesea
Independent,St John's Greek Orthodox College,Pri/Sec,darebin
Independent,Good Shepherd Lutheran Primary School,Primary,maroondah
Independent,Macedon Grammar School Co-Op Ltd,Pri/Sec,macedon ranges
Independent,Oxley Christian College,Pri/Sec,yarra ranges
Independent,Olivet Christian College,Pri/Sec,mount alexander
Independent,Covenant College,Pri/Sec,greater geelong
Independent,Mountain District Christian School,Pri/Sec,yarra ranges
Catholic,Catholic College,Secondary,wodonga
Catholic,Caroline Chisholm Catholic College,Secondary,maribyrnong
Catholic,St Thomas More School,Primary,ballarat
Catholic,St Mary's School,Primary,yarra ranges
Catholic,St Anne's School,Primary,manningham
Catholic,St Gabriel's School,Primary,latrobe
Catholic,Our Lady's School,Primary,hume
Catholic,St Augustine's School,Primary,frankston
Catholic,St Francis of Assisi School,Primary,whittlesea
Catholic,Loyola College,Secondary,banyule
Catholic,Catholic Regional College,Secondary,melton
Independent,Newhaven College,Pri/Sec,bass coast
Independent,St John's Lutheran School,Primary,glenelg
Independent,Christian College Highton,Pri/Sec,greater geelong
Independent,Billanook College,Pri/Sec,yarra ranges
Independent,Fitzroy Community School,Primary,yarra
Catholic,St Paul Apostle South School,Primary,casey
Catholic,St Andrew's School,Primary,kingston
Catholic,St Thomas More's School,Primary,mornington peninsula
Catholic,St Francis' School,Primary,moira
Independent,Creek Street Christian College,Pri/Sec,greater bendigo
Independent,Good Shepherd College,Pri/Sec,southern grampians
Independent,Plenty Valley Christian College,Pri/Sec,nillumbik
Catholic,St James the Apostle School,Primary,wyndham
Catholic,St Simon's School,Primary,knox
Catholic,Queen of Peace Primary School,Primary,hobsons bay
Catholic,Don Bosco School,Primary,casey
Catholic,Our Lady Star of the Sea School,Primary,greater geelong
Catholic,Catholic Regional College | Catholic Regional College Institute of Training,Secondary,brimbank
Catholic,Catholic Regional College North Keilor,Secondary,brimbank
Independent,Village School,Primary,maroondah
Independent,Bayside Christian College,Pri/Sec,frankston
Independent,Andale School,Special,boroondara
Independent,Trinity Lutheran College,Pri/Sec,mildura
Independent,Goulburn Valley Grammar School,Pri/Sec,greater shepparton
Independent,The Knox School,Pri/Sec,knox
Independent,Heathdale Christian College,Pri/Sec,wyndham
Independent,Hillcrest Christian College,Pri/Sec,casey
Independent,St Paul's Anglican Grammar School,Pri/Sec,baw baw
Independent,Sunshine Christian School,Primary,brimbank
Independent,Frank Dando Sports Academy,Special,monash
Independent,Beaconhills College,Pri/Sec,cardinia
Independent,Ghilgai School,Primary,yarra ranges
Catholic,St Bernadette's Catholic Primary School,Primary,knox
Catholic,St Catherine's School,Primary,whittlesea
Catholic,St Anthony's School,Primary,greater geelong
Catholic,St Mary's School,Primary,whittlesea
Catholic,St Charles Borromeo School,Primary,manningham
Independent,River City Christian College,Pri/Sec,campaspe
Independent,Belgrave Heights Christian School,Pri/Sec,yarra ranges
Independent,Oakleigh Grammar,Pri/Sec,monash
Independent,Worawa Aboriginal College,Special,yarra ranges
Independent,Kerang Christian College,Pri/Sec,gannawarra
Independent,St Andrews Christian College,Pri/Sec,knox
Independent,Chairo Christian School,Pri/Sec,baw baw
Independent,Australian International Academy of Education,Pri/Sec,moreland
Independent,Flinders Christian Community College,Pri/Sec,mornington peninsula
Catholic,St Mary MacKillop Primary School,Primary,brimbank
Catholic,St Catherine's School,Primary,melton
Catholic,St Paul's School,Primary,yarra ranges
Catholic,Our Lady of Fatima School,Primary,mornington peninsula
Catholic,St Justin's School,Primary,monash
Independent,Mount Carmel Christian School,Pri/Sec,wodonga
Catholic,St Richard's Primary School,Primary,yarra ranges
Catholic,Holy Trinity School,Primary,knox
Independent,Melton Christian College,Pri/Sec,melton
Independent,Mansfield Rudolf Steiner School,Pri/Sec,mansfield
Catholic,St Paul Apostle North School,Primary,casey
Catholic,Corpus Christi School,Primary,wyndham
Catholic,Nazareth College,Secondary,greater dandenong
Catholic,St Therese School,Primary,surf coast
Independent,Japanese School of Melbourne,Pri/Sec,glen eira
Catholic,Mary MacKillop Catholic Regional College,Secondary,south gippsland
Independent,King's College,Pri/Sec,warrnambool
Independent,Sophia Mundi Steiner School,Pri/Sec,yarra
Independent,Al-Taqwa College,Pri/Sec,wyndham
Independent,Overnewton Anglican Community College,Pri/Sec,brimbank
Catholic,St Joachim's School,Primary,frankston
Catholic,Holy Trinity Primary School,Primary,banyule
Catholic,St Carlo Borromeo School,Primary,hume
Independent,Little Yarra Steiner School,Pri/Sec,yarra ranges
Catholic,St Mary MacKillop College,Secondary,swan hill
Catholic,St Kevin's School,Primary,casey
Independent,Bacchus Marsh Grammar,Pri/Sec,moorabool
Catholic,St Peter's College,Secondary,casey
Independent,Lighthouse Christian College,Pri/Sec,greater dandenong
Independent,Alphington Grammar School,Pri/Sec,yarra
Catholic,St Therese's School,Primary,casey
Catholic,St Ita's School,Primary,baw baw
Independent,Yarralinda School,Primary,yarra ranges
Catholic,Lumen Christi School,Primary,ballarat
Independent,Castlemaine Steiner School & Kindergarten,Pri/Sec,mount alexander
Independent,The Kilmore International School,Pri/Sec,mitchell
Independent,St Mary's Coptic Orthodox College,Pri/Sec,hume
Independent,Mansfield Autism Statewide Services,Special,mansfield
Independent,Minaret College,Pri/Sec,greater dandenong
Independent,Victory Lutheran College,Pri/Sec,wodonga
Independent,Son Centre Christian College,Primary,swan hill
Independent,Girton Grammar School,Pri/Sec,greater bendigo
Catholic,St Francis of the Fields School,Primary,greater bendigo
Catholic,Galilee Regional Catholic Primary School,Primary,port phillip
Independent,Casey Grammar School,Pri/Sec,casey
Catholic,St Brendan's School,Primary,mornington peninsula
Catholic,Mary MacKillop School,Primary,casey
Catholic,Bethany Catholic Primary School,Primary,wyndham
Independent,Victory Christian College,Pri/Sec,greater bendigo
Independent,Ilim College of Australia,Pri/Sec,hume
Catholic,Penola Catholic College,Secondary,hume
Independent,Christian College Bellarine,Pri/Sec,greater geelong
Catholic,Good Samaritan Catholic Primary School,Primary,hume
Independent,Erasmus School,Primary,boroondara
Independent,Kardinia International College,Pri/Sec,greater geelong
Catholic,Holy Cross Primary School,Primary,macedon ranges
Catholic,St Catherine's Primary School,Primary,casey
Independent,Good News Lutheran College,Pri/Sec,wyndham
Independent,Sirius College,Pri/Sec,hume
Catholic,Emmaus Catholic Primary School,Primary,brimbank
Independent,Red Rock Christian College,Primary,hume
Independent,Maharishi School of the Age of Enlightenment,Primary,darebin
Catholic,Thomas Carr College,Secondary,wyndham
Catholic,St Thomas Primary School,Primary,greater geelong
Independent,Shepparton Christian College Ltd,Pri/Sec,greater shepparton
Independent,Darul Ulum College of Victoria,Pri/Sec,moreland
Independent,St Thomas Aquinas College,Pri/Sec,cardinia
Independent,Bairnsdale Christian Community School,Primary,east gippsland
Independent,East Preston Islamic College,Pri/Sec,darebin
Catholic,Clairvaux Catholic School,Primary,greater geelong
Independent,Heatherton Christian College,Pri/Sec,kingston
Independent,Dandenong Ranges Steiner School,Primary,cardinia
Independent,Aitken College,Pri/Sec,hume
Independent,Alia College,Secondary,boroondara
Independent,Ballarat Steiner School,Primary,ballarat
Independent,Christian College Institute of Senior Education,Secondary,greater geelong
Independent,Christ the King Anglican College,Pri/Sec,moira
Catholic,Christ the Priest Catholic Primary School,Primary,melton
Independent,Freshwater Creek Steiner School,Primary,surf coast
Independent,Gisborne Montessori School,Primary,macedon ranges
Independent,Mt Hira College,Pri/Sec,greater dandenong
Catholic,Lumen Christi School,Primary,wyndham
Catholic,Trinity Catholic Primary School,Primary,casey
Catholic,Columba Catholic School,Primary,cardinia
Independent,Stott's Colleges,Secondary,melbourne
Independent,Glenvale School,Pri/Sec,nillumbik
Independent,Kamaruka,Special,yarra
Independent,Geelong Baptist College,Pri/Sec,greater geelong
Catholic,Lavalla Catholic College,Secondary,latrobe
Independent,Mildura Christian College,Pri/Sec,mildura
Independent,Haileybury Girls College,Pri/Sec,greater dandenong
Catholic,Antonine College,Pri/Sec,moreland
Independent,Ozford College,Secondary,melbourne
Independent,Berry Street Victoria Inc,Special,greater dandenong
Independent,Yesodei HaTorah College,Pri/Sec,port phillip
Catholic,Cana Catholic Primary School,Primary,melton
Independent,Trinity Anglican College Wodonga,Primary,wodonga
Independent,Holmes Secondary College,Secondary,melbourne
Independent,New Generation College,Secondary,melbourne
Catholic,St Luke's Catholic Primary School,Primary,greater shepparton
Catholic,Frayne College,Pri/Sec,wodonga
Independent,Albury Wodonga Community College,Secondary,wodonga
Catholic,Marymede Catholic College,Pri/Sec,whittlesea
Catholic,Stella Maris Catholic Primary School,Primary,wyndham
Independent,Candlebark School,Pri/Sec,macedon ranges
Independent,Lakeside Lutheran College,Pri/Sec,cardinia
Catholic,Trinity Catholic School,Primary,yarra
Catholic,DOXA School Bendigo,Special,greater bendigo
Independent,Beechworth Montessori School,Primary,indigo
Independent,Balcombe Grammar School,Pri/Sec,mornington peninsula
Catholic,Catholic Regional College,Secondary,melton
Independent,Ballarat Christian College,Pri/Sec,ballarat
Independent,Deutsche Schule Melbourne,Primary,yarra
Catholic,Emmaus Catholic Primary School,Primary,ballarat
Independent,EdSpace,Special,benalla
Catholic,Kolbe Catholic College,Secondary,hume
Independent,Hume Anglican Grammar,Pri/Sec,hume
Independent,Lighthouse Christian College Cranbourne,Pri/Sec,casey
Catholic,Mother Teresa School,Primary,hume
Independent,Geelong Lutheran College,Pri/Sec,greater geelong
Catholic,Our Lady of the Southern Cross,Primary,wyndham
Independent,Daylesford Dharma School,Primary,hepburn
Catholic,St George Preca School,Primary,melton
Catholic,St Joseph's School,Primary,whittlesea
Independent,Al Siraat College,Pri/Sec,whittlesea
Independent,Community College Gippsland Ltd,Secondary,baw baw
Catholic,"Borinya, Wangaratta Community Partnership",Special,wangaratta
Government,Victoria University Secondary College,Secondary,brimbank
Government,Swifts Creek School (Interim name),Pri/Sec,east gippsland
Catholic,St Mary's School,Primary,campaspe
Catholic,St Mary of the Cross MacKillop Catholic Parish Primary School,Primary,whittlesea
Government,Jacana School for Autism,Special,hume
Government,Parkville College,Special,melbourne
Government,Epping Primary School,Primary,whittlesea
Government,Brookside P-9 College,Pri/Sec,melton
Government,Creekside K-9 College,Pri/Sec,melton
Government,Lakeview Senior College,Secondary,melton
Government,Springside P-9 College,Pri/Sec,melton
Government,Melba Secondary College,Secondary,maroondah
Government,Boronia K-12 College,Pri/Sec,knox
Government,Northern Bay P-12 College,Pri/Sec,greater geelong
Government,Hopetoun P-12 College,Pri/Sec,yarriambiack
Government,Doveton College,Pri/Sec,casey
Government,Goongerah P-8 School (interim name),Pri/Sec,east gippsland
Government,Surf Coast Secondary College,Secondary,surf coast
Independent,Southern Cross Grammar,Pri/Sec,melton
Government,Glenroy Secondary College,Secondary,moreland
Government,John Fawkner Secondary College,Secondary,moreland
Government,William Ruthven Primary School,Primary,darebin
Government,William Ruthven Secondary College,Secondary,darebin
Government,Dallas Brooks Community Primary School,Primary,hume
Independent,Cornish College,Pri/Sec,greater dandenong
Independent,Melbourne Montessori School,Primary,glen eira
Catholic,St Francis of Assisi Catholic Primary School,Primary,wyndham
Catholic,St Joseph's Flexible Learning Centre Melbourne,Special,melbourne
Government,Officer Specialist School,Special,cardinia
Catholic,MacKillop Specialist School,Special,greater geelong
Independent,Wild Cherry Steiner School,Primary,east gippsland
Independent,Insight Education Centre for the Blind and Vision Impaired,Special,cardinia
Independent,Nunawading Christian College-Secondary,Secondary,whitehorse
Independent,Christadelphian Heritage College Melbourne,Primary,knox
Independent,Woodleigh School,Pri/Sec,frankston
Catholic,St Brigid's School,Primary,cardinia
Catholic,St Francis de Sales Catholic Primary School,Primary,casey
Catholic,St Lawrence Catholic Primary School,Primary,brimbank
