Education_Sector,School_Name,School_Type,Local_Government_Area
Government,White Hills Primary School,Primary,greater bendigo
Government,Mount Egerton Primary School,Primary,moorabool
Government,Drouin Primary School,Primary,baw baw
Government,Wunghnu Primary School,Primary,moira
Government,Maroona Primary School,Primary,ararat
Government,Jindivick Primary School,Primary,baw baw
Government,Talgarno Primary School,Primary,towong
Government,Bungaree Primary School,Primary,moorabool
Government,Little River Primary School,Primary,wyndham
Government,Cowwarr Primary School,Primary,wellington
Government,Morang South Primary School,Primary,whittlesea
Government,Camp Hill Primary School,Primary,greater bendigo
Government,Pyalong Primary School,Primary,mitchell
Government,Winchelsea Primary School,Primary,surf coast
Government,Buln Buln Primary School,Primary,baw baw
Government,Macarthur Street Primary School,Primary,ballarat
Government,Elliminyt Primary School,Primary,colac-otway
Government,Mornington Primary School,Primary,mornington peninsula
Government,Hamilton North Primary School,Primary,southern grampians
Government,Mount Blowhard Primary School,Primary,ballarat
Government,Creswick North Primary School,Primary,hepburn
Government,Black Hill Primary School,Primary,ballarat
Government,Brighton Beach Primary School,Primary,bayside
Government,Castlemaine North Primary School,Primary,mount alexander
Government,Yarrambat Primary School,Primary,nillumbik
Government,Thoona Primary School,Primary,benalla
Government,Casterton Primary School,Primary,glenelg
Government,Nathalia Primary School,Primary,moira
Government,Chilwell Primary School,Primary,greater geelong
Government,Greensborough Primary School,Primary,banyule
Government,Teesdale Primary School,Primary,golden plains
Government,Cranbourne Primary School,Primary,casey
Government,Katamatite Primary School,Primary,moira
Government,Buangor Primary School,Primary,ararat
Government,Leitchville Primary School,Primary,gannawarra
Government,Whittlesea Primary School,Primary,whittlesea
Government,Little Bendigo Primary School,Primary,ballarat
Government,Urquhart Park Primary School,Primary,ballarat
Government,Warragul Primary School,Primary,baw baw
Government,Kangaroo Ground Primary School,Primary,nillumbik
Government,Traralgon South Primary School,Primary,latrobe
Government,Coleraine Primary School,Primary,southern grampians
Government,Lake Charm Primary School,Primary,gannawarra
Government,Ripplebrook Primary School,Primary,baw baw
Government,Numurkah Primary School,Primary,moira
Government,Commercial Road Primary School - Morwell,Primary,latrobe
Government,Moe (Albert Street) Primary School,Primary,latrobe
Government,Geelong South Primary School,Primary,greater geelong
Government,Lorne - Aireys Inlet P-12 College,Pri/Sec,surf coast
Government,Bayswater Primary School,Primary,knox
Government,Minyip Primary School,Primary,yarriambiack
Government,Mulgrave Primary School,Primary,monash
Government,Yarragon Primary School,Primary,baw baw
Government,Tyers Primary School,Primary,latrobe
Government,Trafalgar Primary School,Primary,baw baw
Government,Kinglake Primary School,Primary,murrindindi
Government,Ellinbank Primary School,Primary,baw baw
Government,Tambo Upper Primary School,Primary,east gippsland
Government,Baranduda Primary School,Primary,wodonga
Government,Tungamah Primary School,Primary,moira
Government,Bunyip Primary School,Primary,cardinia
Government,Gunbower Primary School,Primary,campaspe
Government,Nar Nar Goon Primary School,Primary,cardinia
Government,Toora Primary School,Primary,south gippsland
Government,Montrose Primary School,Primary,yarra ranges
Government,Koondrook Primary School,Primary,gannawarra
Government,Katunga South Primary School,Primary,moira
